Search Term,均值,方差,斜率
tv mount,2097.7786,0.0722,"{'10': 0.353, '2': 0.129, '6': 0.529}"
ethernet cable,1868.1714,0.0873,"{'11': 0.183, '5': 0.298}"
carpet cleaner,1275.4873,0.0508,"{'11': 0.447, '6': 0.482}"
lace front wig,9468.0435,0.1187,"{'2': 0.116, '11': 0.179, '5': 0.224}"
netflix,1445.8927,0.0803,{'10': 0.533}
wireless headphones for iphone,33021.687,0.0793,"{'11': 0.257, '5': 0.637}"
bidet,1089.628,0.0687,"{'11': 0.618, '5': 0.067}"
resin,1187.4849,0.0758,{'11': 0.525}
healthy snacks,1427.6265,0.0466,{'11': 0.933}
coconut oil,1111.851,0.0463,{'11': 0.807}
bacon,1198.2151,0.0531,{'10': 0.921}
clothing rack,1581.4511,0.0668,"{'11': 0.588, '4': 0.149, '6': 0.247}"
fire pit,734.6533,0.0947,"{'8': 0.325, '2': 0.654, '11': 0.324}"
measuring cups,1139.2075,0.0616,"{'11': 0.536, '6': 0.134}"
usb hub,877.8207,0.0859,"{'8': 0.132, '11': 0.524, '4': 0.302}"
toilet bowl cleaners,145434.9985,0.1711,{'4': 0.298}
puzzle,1945.475,0.0736,"{'9': 0.183, '5': 0.202}"
decorative pillows,2012.0416,0.0508,"{'8': 0.64, '11': 0.308}"
top gear,1277.5573,0.0659,"{'10': 0.366, '6': 0.235}"
popsocket,1374.7024,0.0985,"{'2': 0.448, '11': 0.557, '5': 0.247}"
magnetic eyelash kit,123300.776,0.0992,"{'2': 0.207, '11': 0.747}"
classroom supplies,15862.0824,0.0779,{'11': 0.135}
biotin,1157.7298,0.0459,"{'3': 0.152, '11': 0.887}"
kitchen rugs,1071.8668,0.0707,"{'11': 0.386, '6': 0.415}"
nike backpack,6945.6602,0.1059,"{'2': 0.631, '11': 0.244, '5': 0.268}"
human hair wigs for black women,5387.8401,0.0772,"{'3': 0.417, '6': 1.048}"
vans shoes women,4551.2173,0.0715,{'6': 1.315}
chair covers,3839.8071,0.1126,"{'2': 0.433, '11': 0.113, '6': 0.341}"
sheets,2178.5468,0.0602,"{'10': 0.271, '5': 0.08}"
xbox controller,1339.6855,0.0787,"{'10': 0.123, '5': 0.619}"
lap desk,1431.1007,0.0695,"{'10': 0.271, '6': 0.142}"
dimple,6916.1423,0.0685,{'11': 0.25}
adidas,1010.2768,0.0749,{'10': 0.336}
wigs for black women,3516.4635,0.0587,"{'11': 0.217, '6': 1.147}"
crayons,2789.733,0.0785,"{'10': 0.092, '6': 0.313}"
zombie movies,1412.7884,0.0556,"{'11': 0.833, '6': 0.199}"
sun dress,13306.203,0.1056,{'11': 0.785}
manifest,15320.6558,0.1175,"{'2': 0.264, '11': 0.555}"
notebooks,2945.8296,0.0937,"{'2': 0.425, '11': 0.583, '4': 0.348, '6': 0.604}"
machine screws,10067.9282,0.0741,{'11': 1.24}
neck pillow,1521.7181,0.0633,"{'11': 0.505, '6': 0.249}"
gold necklace,6080.5982,0.0811,"{'11': 0.211, '6': 0.306}"
bubble wrap,1730.2755,0.058,"{'2': 0.291, '11': 0.678, '6': 0.305}"
gel polish,1454.1582,0.0631,"{'11': 0.469, '6': 0.178}"
bike lock,2396.8564,0.0975,"{'2': 0.289, '11': 0.834, '5': 0.252}"
lunch box kids,43041.0637,0.1501,"{'2': 0.153, '5': 0.189}"
bralettes for women,1243.0238,0.0537,"{'2': 0.255, '11': 0.878, '6': 0.267}"
log in,4778.9628,0.0694,{'9': 1.01}
kids lunch box,6922.2959,0.1142,"{'11': 0.579, '5': 0.501}"
anime stuff,1853.6004,0.0567,{'10': 0.194}
dish rack,1427.4742,0.0552,"{'2': 0.16, '11': 0.641, '5': 0.545}"
fishing pole,2879.6765,0.1206,{'11': 0.568}
asics shoes for women,63794.2657,0.1127,"{'8': 0.556, '2': 0.437, '11': 0.132}"
college dorm essentials for girls,37425.7869,0.0896,"{'8': 1.006, '11': 0.536}"
rice cooker,590.0702,0.0529,"{'11': 0.191, '5': 0.096, '7': 0.773}"
bread box,1141.9012,0.0661,"{'11': 0.584, '6': 0.131}"
led light,2315.2319,0.0774,"{'10': 0.203, '4': 0.121}"
hawaiian dresses for women,86706.9241,0.104,{'2': 0.543}
pencil sharpeners,1722.115,0.0727,"{'11': 0.515, '6': 0.418}"
mens shirts,1206.0606,0.0731,"{'10': 0.46, '2': 0.426, '6': 0.503}"
cat,1258.4035,0.0477,"{'10': 0.195, '5': 0.159, '7': 0.607}"
kindle paperwhite,1842.1199,0.058,{'10': 0.141}
beach hats for women,6857.6324,0.0927,"{'11': 0.512, '6': 0.895}"
wireless keyboard and mouse,5087.2251,0.0948,"{'8': 0.138, '2': 0.852, '5': 1.17}"
gallon water bottle with straw,5995.8337,0.0978,"{'10': 0.343, '2': 0.452, '6': 0.172}"
bodycon dresses,83690.491,0.0909,"{'11': 0.867, '5': 0.069}"
melissa and doug toys,16761.1483,0.1022,{'4': 0.746}
evil eye necklace,2678.7771,0.0713,{'11': 0.295}
grinder,1241.3832,0.0672,"{'10': 0.084, '6': 0.187}"
lunch box for men,1490.3673,0.0556,"{'11': 0.575, '5': 0.174}"
n95,2368.0551,0.0872,"{'11': 0.789, '6': 0.369}"
lights for bedroom,1736.3394,0.0588,"{'10': 0.527, '4': 0.229}"
hats for men,1646.0329,0.061,"{'11': 0.123, '6': 0.971}"
phone cases for iphone 11,6787.3814,0.1131,"{'11': 0.054, '6': 1.343}"
computer monitor,1526.9927,0.1017,"{'11': 0.13, '4': 0.577, '7': 0.603}"
skin care,1338.4876,0.0554,{'9': 0.308}
baby yoda,745.6073,0.1101,"{'8': 0.384, '10': 0.21, '4': 0.252}"
fruit,1245.1991,0.0441,{'11': 0.914}
closet organizers and storage,845.4318,0.138,"{'11': 0.103, '7': 0.452}"
lume deodorant,1982.9546,0.0674,"{'3': 0.139, '11': 0.643}"
cooking utensils,6314.0345,0.0579,"{'9': 0.2, '2': 0.259}"
blood pressure monitors,25797.3218,0.1578,"{'2': 0.273, '5': 0.142}"
the office,881.7899,0.0803,"{'8': 0.238, '11': 0.475, '6': 0.25}"
3080,1967.2029,0.066,"{'8': 0.381, '11': 0.819, '5': 0.316}"
lord of the rings,1063.2749,0.0481,"{'11': 0.89, '7': 0.049}"
unicorns gifts for girls,1536.0608,0.0779,"{'10': 0.55, '6': 0.119}"
guitar,1196.703,0.0624,"{'11': 0.691, '7': 0.418}"
lettuce,1478.4151,0.0924,"{'8': 0.568, '11': 0.516}"
men's shorts,7834.0734,0.1359,{'11': 0.817}
spiral notebook,5453.7114,0.0981,"{'2': 0.78, '11': 0.37, '6': 0.682}"
sewing machines,7211.9127,0.193,{'5': 0.475}
white sandals women,13866.1704,0.0773,{'11': 1.195}
kindle unlimited books,37243.1467,0.1126,"{'8': 0.149, '11': 0.063, '4': 0.306}"
formal dresses,8359.0499,0.0706,"{'11': 0.093, '6': 0.213}"
happy birthday banner,1816.3622,0.046,"{'8': 0.231, '2': 0.057, '11': 0.87}"
bracelet making kit,4494.1197,0.1396,"{'3': 0.147, '11': 0.097}"
high waisted shorts,16592.9592,0.0834,{'11': 1.095}
daniel tiger,951.466,0.0489,"{'11': 0.418, '6': 0.182}"
milk frother,749.9112,0.0559,"{'10': 0.108, '7': 0.338}"
pop up tent,3842.3369,0.0958,"{'11': 0.761, '6': 0.157}"
gender reveal decorations,1977.2507,0.06,"{'8': 0.377, '11': 0.808}"
toys for 1 year old boy,1706.6015,0.0663,"{'9': 0.12, '5': 0.108}"
adidas shoes women,3933.9538,0.1022,{'6': 0.658}
stapler,2419.3595,0.059,"{'11': 0.615, '6': 0.465}"
pocket pussy,1189.9797,0.0585,"{'10': 0.305, '5': 0.073}"
resident evil,3257.4843,0.0879,"{'3': 0.675, '9': 0.81, '11': 0.341}"
protein shake,5375.3248,0.1405,"{'11': 0.257, '5': 0.206}"
cube storage,1554.6403,0.0501,{'11': 1.096}
honey,1150.934,0.0554,"{'11': 0.899, '7': 0.117}"
pulse oximeter,1253.4464,0.0852,"{'11': 0.417, '6': 0.546}"
pill box,3013.2879,0.0827,"{'11': 0.637, '4': 0.109}"
balloons,1638.9787,0.0492,{'11': 0.744}
watermelon,3497.6408,0.0724,"{'3': 0.15, '11': 0.97}"
toiletry bag,4298.6504,0.0847,"{'10': 0.187, '2': 0.209}"
olaplex,1315.7563,0.0592,"{'11': 0.507, '6': 0.183}"
beach dress,4744.7823,0.0929,{'10': 0.543}
nike shoes,1365.6242,0.0671,"{'10': 0.241, '6': 0.335}"
shirts for men,1476.3178,0.0574,"{'2': 0.256, '11': 0.326}"
salt and pepper shakers set,150281.6064,0.1582,{'3': 0.332}
vans shoes men,1329.0353,0.0575,"{'8': 0.428, '10': 0.186, '2': 0.229}"
plus size dresses,4340.8433,0.0719,{'11': 0.397}
safety glasses,1319.3584,0.0487,"{'11': 0.822, '7': 0.181}"
cupshe swimsuit,76623.4337,0.0774,{'5': 0.14}
wine rack,1079.768,0.0576,{'10': 0.272}
aa battery,16904.8632,0.1312,"{'2': 0.43, '4': 0.465, '6': 0.252}"
monitor stand,697.1206,0.0629,"{'11': 0.561, '7': 0.693}"
corset top,760.4981,0.1055,"{'11': 0.751, '6': 0.343}"
scrunchies,1250.6276,0.0624,"{'10': 0.229, '6': 0.157}"
mini brands,1451.0678,0.0716,"{'9': 0.304, '6': 0.173}"
chicken breast,1388.9767,0.0504,"{'11': 0.893, '6': 0.118}"
collagen,1256.2711,0.0479,{'11': 0.768}
lava lamp,1265.9743,0.0702,"{'8': 0.541, '5': 0.468}"
black sandals women,7198.6922,0.087,{'11': 0.974}
twin mattresses,59523.0325,0.1417,"{'10': 0.234, '3': 0.335}"
usb c to usb c cable,5678.5678,0.0832,"{'10': 0.252, '4': 0.151, '6': 0.144}"
ps5 controller,1307.5174,0.0528,"{'10': 0.169, '2': 0.732, '4': 0.331}"
box fan,4147.8028,0.1082,{'11': 0.636}
artificial plants,1631.1631,0.0536,"{'11': 0.681, '6': 0.068}"
throw pillow covers,1447.9741,0.0671,"{'2': 0.255, '11': 0.509, '6': 0.204}"
adult coloring book,1909.1158,0.0602,{'11': 0.099}
pool shock,13021.4922,0.0941,{'11': 0.58}
headbands for women,1306.8173,0.067,"{'11': 0.081, '6': 1.263}"
rice,1171.2508,0.0604,"{'11': 0.985, '6': 0.163}"
sonic,925.6797,0.0785,{'11': 0.525}
amazon smile sign in,1050.708,0.0734,"{'8': 0.163, '11': 0.277, '5': 0.202}"
makeup mirror,1550.8033,0.048,"{'10': 0.183, '6': 0.739}"
air pods,1539.3552,0.0706,"{'10': 0.319, '4': 0.307, '6': 0.22}"
watering can,2048.8791,0.0889,"{'2': 0.205, '11': 0.788}"
heat press,1151.5634,0.0842,{'11': 0.526}
watches for women,1214.1463,0.0644,"{'8': 0.196, '10': 0.189, '2': 0.124}"
home decor clearance,2434.2389,0.1001,"{'2': 0.458, '11': 0.525, '5': 0.435}"
dip powder nail kit,2141.7641,0.0456,"{'11': 0.413, '6': 0.121}"
kayak accessories,4511.7678,0.0943,{'11': 0.649}
face masks skincare,4048.5637,0.098,{'9': 0.431}
puma shoes for men,1099.3846,0.0698,"{'2': 0.26, '11': 0.526}"
taylor swift,5683.0524,0.17,"{'3': 0.205, '6': 0.457}"
picnic basket,1685.9958,0.0686,{'11': 0.805}
jumpsuits for women,2829.6925,0.1176,"{'2': 0.706, '11': 0.107, '6': 0.585}"
party favors,2451.0163,0.0635,"{'8': 0.315, '11': 0.408, '6': 0.144}"
cowboy hat,1716.9959,0.0861,"{'11': 0.655, '5': 0.468}"
beetles gel polish,1618.7099,0.0621,"{'8': 0.577, '11': 0.395, '5': 0.218}"
how to train your dragon,1917.1773,0.0667,"{'3': 0.235, '11': 0.704, '6': 0.196}"
room divider,1330.2067,0.1044,"{'2': 0.13, '11': 0.341, '6': 0.233}"
samsung watch,1464.4016,0.0624,"{'8': 0.226, '10': 0.164, '5': 0.629}"
hummus,1192.1852,0.0525,{'11': 1.007}
jordans,1571.0591,0.0621,"{'10': 0.228, '6': 0.736}"
casual summer dresses,152984.4458,0.1444,"{'9': 0.785, '4': 0.211}"
newborn essentials must haves,2127.4161,0.0504,"{'11': 1.16, '6': 0.094}"
clock,1967.3493,0.0614,"{'8': 0.355, '2': 0.264, '11': 0.581, '6': 0.151}"
hiking backpack,2917.7802,0.0741,"{'2': 0.232, '11': 0.67, '6': 0.695}"
night stand,1702.6982,0.0543,"{'10': 0.117, '2': 0.469, '4': 0.36}"
basket,1059.8973,0.0573,"{'2': 0.096, '11': 0.41, '6': 0.219}"
true crime,2261.2639,0.0814,"{'11': 0.536, '6': 0.286}"
dry shampoo,1301.1556,0.058,{'11': 0.764}
baskets,2348.1528,0.0522,"{'8': 0.574, '2': 0.138, '11': 0.411, '5': 0.109}"
business card holder,2126.2784,0.0623,"{'11': 0.542, '6': 0.133}"
key holder,3186.1458,0.0792,"{'2': 0.1, '11': 0.507, '5': 0.105}"
toaster oven,1026.2459,0.0446,"{'11': 0.325, '6': 0.591}"
folding tables,5728.7703,0.0852,{'6': 0.247}
american horror story,4259.8981,0.0974,"{'11': 0.358, '6': 0.336}"
iphone 7 plus case,1551.2504,0.062,{'11': 0.632}
toothbrush holders,64437.2222,0.1704,{'3': 0.172}
book shelf,1905.2838,0.0594,"{'2': 0.48, '11': 0.24, '4': 0.19}"
treadmills,23787.4129,0.1212,"{'10': 0.191, '3': 0.261}"
patio umbrellas,14890.1941,0.0809,{'11': 0.23}
bathing suit,7875.4587,0.1024,{'10': 0.649}
attack on titan,1224.6598,0.081,{'10': 0.411}
yarn,1410.2975,0.0573,"{'8': 0.166, '10': 0.126, '5': 0.241}"
patio set,5236.6431,0.141,{'11': 0.514}
foot massager,575.7701,0.0541,"{'10': 0.153, '2': 0.142, '7': 0.527}"
orange juice,1294.7339,0.0681,"{'8': 0.465, '11': 0.45}"
vikings,788.0844,0.1012,{'10': 0.256}
deodorant women,86964.9664,0.1874,{'4': 0.154}
slides,2189.2779,0.0792,{'11': 0.319}
cars,1413.9586,0.0511,"{'10': 0.339, '6': 0.08}"
evil eye bracelet,12776.6925,0.1161,"{'10': 0.298, '4': 0.652, '6': 0.99}"
washi tape,1675.4621,0.0675,"{'11': 0.532, '6': 0.163}"
dry erase board,2815.1266,0.0613,"{'3': 0.412, '11': 0.255, '6': 0.783}"
nintendo switch case,1424.1078,0.0597,"{'9': 0.276, '2': 0.272, '6': 0.522}"
trucker hats,33051.929,0.0874,{'11': 0.324}
escape room,7149.4715,0.0755,"{'11': 0.347, '4': 0.659}"
tea tree oil,1822.9178,0.0492,"{'11': 0.655, '6': 0.065}"
jason statham,3222.8767,0.0627,"{'11': 0.94, '4': 0.061}"
hair straightener,1301.7207,0.049,"{'10': 0.147, '6': 0.42}"
glue sticks,4428.0988,0.0779,"{'11': 0.365, '5': 0.409}"
temporary tattoo,22466.4503,0.1298,{'2': 0.295}
sleep mask,1437.8258,0.0485,"{'3': 0.679, '11': 0.481}"
art supplies,1137.1166,0.0796,"{'8': 0.252, '5': 0.121}"
cd player,1765.7583,0.0587,"{'8': 0.428, '10': 0.138, '3': 0.365, '5': 0.519}"
pillows for sleeping,2486.9139,0.0849,{'11': 0.844}
accent chairs,7322.2794,0.1433,"{'2': 0.374, '11': 0.072, '6': 0.305}"
tapastry's,100139.6558,0.0879,"{'11': 0.359, '4': 0.622}"
playing cards,2690.3464,0.0647,"{'10': 0.158, '5': 0.104}"
spanx,2673.0657,0.0782,"{'8': 0.142, '11': 0.255}"
anxiety ring,13133.9817,0.1181,{}
iphone 11 pro max,1014.3584,0.1021,"{'8': 0.352, '11': 0.522, '4': 0.055}"
tea,827.9707,0.0666,"{'8': 0.198, '11': 0.334}"
new movies,1477.8201,0.0657,"{'11': 0.288, '6': 0.122}"
wedding guest dress,3981.8347,0.0715,{'11': 0.238}
basketball,876.465,0.0806,"{'10': 0.156, '2': 0.332, '7': 0.193}"
steak,1511.387,0.0482,{'11': 0.956}
airpods pro,794.6539,0.0828,"{'8': 0.335, '5': 0.746}"
tankini tops for women swimwear,20149.6856,0.0883,{'11': 0.966}
silicone wedding band men,23431.7185,0.1794,{'5': 0.217}
gold hoop earrings,7182.0285,0.1255,"{'11': 0.062, '5': 0.632}"
apigenin,147606.7588,0.0777,"{'11': 0.261, '4': 0.117, '6': 0.288}"
pocket knife for men,23099.9554,0.0691,{'6': 1.429}
airtag holder,2584.5923,0.1005,"{'8': 0.763, '11': 0.281}"
corn hole,18878.7567,0.106,{'11': 0.256}
condoms,1467.7155,0.0524,{'11': 0.623}
water bottles with times to drink,2021.4429,0.0922,"{'10': 0.106, '6': 0.483}"
backpack for women,2514.0776,0.057,"{'10': 0.211, '6': 0.691}"
spice jars,1474.7094,0.062,"{'11': 0.769, '4': 0.263}"
reading glasses for women,2742.0414,0.0666,"{'11': 0.094, '6': 1.126}"
baby walker,1344.4066,0.0508,"{'8': 0.076, '11': 0.315, '4': 0.155}"
makeup brushes,571.2194,0.0874,{'7': 0.405}
paint by numbers,2855.1535,0.0878,"{'11': 0.409, '5': 0.179}"
almond milk,1202.683,0.0498,{'11': 0.891}
pc case,1460.9282,0.0759,{'11': 0.525}
oil diffuser,1022.7492,0.0484,"{'11': 0.365, '7': 0.479}"
swim shorts women,80264.9003,0.0975,{}
beef jerky,1362.7969,0.0649,"{'11': 0.558, '6': 0.118}"
tank tops men,57564.5408,0.1235,{'5': 0.138}
mens water shoes,15072.3269,0.0973,{'11': 0.426}
dressers & chests of drawers,1514.3673,0.0659,"{'2': 0.183, '11': 0.637, '6': 0.409}"
ice cream maker,1929.6159,0.0531,"{'10': 0.699, '2': 0.141, '4': 0.111, '6': 0.229}"
mens watches,1501.9314,0.0457,"{'10': 0.128, '6': 0.821}"
party dress for women,41500.7003,0.1,{}
backpack for girls,10984.303,0.0782,"{'10': 0.533, '6': 0.213}"
nba,16816.7418,0.0684,{'9': 0.546}
glass storage containers,1510.4494,0.0705,"{'11': 0.668, '5': 0.117}"
hair removal spray,71799.6184,0.1231,"{'9': 0.336, '11': 0.377, '5': 0.232}"
the purge,5622.7061,0.1189,"{'9': 0.187, '11': 0.217, '4': 0.136}"
mattress protector,2770.8462,0.071,"{'3': 0.946, '11': 0.205, '6': 0.354}"
outdoor games,4001.3897,0.0762,{'11': 0.249}
fidget cube,1337.2017,0.0736,{'11': 0.523}
nintendo,1699.2817,0.0642,"{'9': 0.158, '11': 0.987, '5': 0.425}"
coffee mug,908.1232,0.0669,"{'9': 0.086, '7': 0.094}"
kn95 face mask,12652.292,0.1333,"{'11': 0.634, '5': 0.868}"
label makers,21529.048,0.1741,"{'2': 0.321, '5': 0.433}"
dyson vacuum cleaner,2886.186,0.0769,{'11': 0.941}
iphone 12 pro max phone case,15377.4436,0.0755,{'11': 0.202}
skin care tools,13891.53,0.063,"{'10': 0.276, '6': 0.057}"
lights,1489.8384,0.0641,"{'8': 0.37, '10': 0.37, '2': 0.153}"
tamil movies 2021,554.4965,0.1488,{'10': 0.369}
storage ottoman,2707.2334,0.0738,"{'11': 0.522, '6': 0.266}"
computer chair,790.1208,0.0816,"{'2': 0.647, '11': 0.328, '5': 0.803, '7': 0.141}"
bird bath,3732.3729,0.1289,{'11': 0.616}
aa batteries,936.2029,0.0874,"{'8': 0.12, '3': 0.468, '11': 0.39}"
travel pillow,2595.9075,0.0591,"{'11': 0.295, '5': 0.158}"
face wash,1690.4879,0.0522,"{'11': 0.663, '6': 0.063}"
badge holder,6157.512,0.1334,"{'11': 0.218, '5': 0.251}"
mens sandals,5887.256,0.1224,{'11': 0.46}
gaming headset,881.5897,0.0836,"{'8': 0.271, '10': 0.226, '5': 0.372}"
towel rack,1916.9597,0.0574,"{'2': 0.264, '11': 0.516, '6': 0.138}"
bird feeders,4648.3809,0.0719,"{'11': 0.097, '4': 0.139, '6': 0.218}"
fruit fly trap,16040.9098,0.1086,"{'11': 0.109, '4': 0.539}"
hummingbird feeder,5306.7554,0.094,{'11': 0.109}
tshirt dress,11159.3931,0.0791,{'11': 1.008}
pokemon toys,2023.2492,0.057,"{'10': 0.122, '6': 0.117}"
iphone 8 plus,1222.2335,0.0709,{'11': 0.529}
gender reveal,1912.4354,0.0446,"{'2': 0.108, '11': 0.832}"
sweet sweat,2259.4519,0.0803,"{'2': 0.102, '11': 0.605}"
housewarming gift,7319.8586,0.0892,"{'11': 0.284, '6': 0.081}"
headbands,1527.1287,0.0863,"{'11': 0.587, '7': 0.705}"
carpet,1558.7254,0.0659,"{'2': 0.241, '11': 0.493, '6': 0.105}"
beach,7006.2213,0.1151,{'11': 0.527}
vestidos de verano para mujer,29391.5557,0.086,{'11': 1.391}
cat tower,980.744,0.0644,"{'8': 0.296, '11': 0.349, '4': 0.209, '6': 0.35}"
breast pump,2028.0785,0.0694,"{'11': 0.654, '5': 0.089}"
starz,2303.5924,0.0518,"{'11': 0.474, '6': 0.73}"
popit,2791.7162,0.0921,{'11': 0.226}
ceiling fan,1678.8922,0.0565,"{'2': 0.201, '11': 0.779, '5': 0.121}"
corner desk,1389.3247,0.0702,"{'11': 0.524, '6': 0.205}"
amiibo,3403.8074,0.0618,"{'9': 0.42, '11': 0.528, '5': 0.299}"
beats,1934.5446,0.0511,"{'8': 0.262, '10': 0.779}"
popcorn machine,1233.6636,0.0561,{'8': 0.213}
rolling cart,2322.6637,0.0697,"{'3': 0.36, '11': 0.58}"
usb c wall charger,10233.9577,0.1266,{'6': 0.496}
nursing bras,7950.3878,0.1525,"{'2': 0.192, '11': 0.081, '4': 0.235}"
fly traps for indoors,1691.2969,0.0858,{'11': 0.974}
cutting board,1237.5276,0.085,{'10': 0.229}
lightning deals,2640.1143,0.0974,"{'8': 0.165, '3': 0.184, '5': 0.241}"
pit vipers men,196643.3891,0.1458,"{'9': 0.757, '11': 0.726}"
shower organizer,1509.1204,0.0568,"{'11': 0.211, '6': 1.129}"
oculus,1899.995,0.0669,"{'10': 0.099, '5': 0.593}"
fake nose ring,4849.3413,0.1024,"{'2': 0.326, '11': 0.133, '4': 0.803, '6': 0.887}"
lululemon,1988.2891,0.0561,"{'9': 0.083, '2': 0.225, '11': 0.278}"
mermaid tail,6824.7266,0.0909,"{'11': 0.443, '6': 0.133}"
plus size maxi dress,16522.5355,0.1078,"{'11': 0.954, '6': 0.068}"
sprinkler,13451.835,0.1147,{'11': 0.802}
mouthwash,1474.793,0.0493,"{'11': 0.83, '5': 0.172}"
lego technic,2027.9458,0.0685,"{'9': 0.108, '5': 0.16}"
desks,2129.6434,0.06,"{'11': 0.543, '4': 0.128, '6': 0.109}"
led,1501.4015,0.0504,{'10': 0.453}
y2k top,19103.6605,0.0901,"{'11': 0.685, '4': 0.236}"
skin tag remover,1621.8678,0.0526,"{'8': 0.194, '11': 1.091, '6': 0.124}"
go pro,1817.0288,0.0665,{'10': 0.163}
icarly,3856.356,0.0969,"{'10': 0.488, '5': 0.628}"
home office desks,1223.0793,0.0785,"{'11': 0.523, '6': 0.129}"
headphones for kids,5159.1925,0.0939,"{'10': 0.582, '6': 0.327}"
chandeliers,5012.7579,0.1139,"{'3': 0.221, '11': 0.078}"
candle,1300.4367,0.0658,"{'8': 0.165, '10': 0.865}"
s21 ultra case,991.7708,0.1721,{'11': 0.536}
disney shirts for women,3361.9319,0.0636,{'11': 0.506}
amazon fresh groceries delivery,1625.1218,0.076,"{'11': 0.449, '6': 0.397}"
room decor aesthetic vintage,95722.3842,0.1296,{'3': 0.589}
workout shorts womens,2445.3657,0.1014,{'11': 0.77}
one piece swimsuit tummy control,75012.5508,0.1129,{'10': 0.77}
orders,1900.6592,0.0629,"{'8': 0.079, '3': 0.31, '11': 0.287}"
scale for body weight,45525.9161,0.0737,{'6': 1.174}
henna tattoo kit,4618.3434,0.07,"{'10': 0.147, '2': 0.086, '6': 0.084}"
chemical guys,1554.2682,0.0763,"{'11': 0.622, '5': 0.116}"
power,3670.1839,0.0542,"{'10': 0.301, '6': 0.511}"
plant pots,1613.99,0.0542,"{'2': 0.167, '11': 0.628, '6': 0.525}"
movie,2173.6434,0.0619,"{'10': 0.231, '3': 0.61}"
hair brush,1611.8678,0.054,"{'11': 0.596, '6': 0.284}"
keychains for women,3385.4481,0.0665,"{'2': 0.367, '11': 0.592, '6': 0.128}"
fishing,1803.9617,0.0785,{'10': 0.347}
instant pot,912.0418,0.0707,{'8': 0.331}
tank tops,3691.4172,0.1109,{'11': 0.566}
maxi dresses,21065.5091,0.0948,{'11': 0.84}
ice pack,3127.6586,0.0812,"{'11': 0.721, '5': 0.139}"
south park,1303.9698,0.074,"{'10': 0.37, '2': 0.081, '6': 0.333}"
cucumber,2052.4787,0.0688,{'11': 0.754}
extension cord,587.7597,0.0707,"{'3': 0.506, '11': 0.211, '7': 0.491}"
womens blazer,9156.4847,0.0845,"{'8': 0.092, '11': 0.142, '5': 0.498}"
making the cut,34535.4935,0.1099,"{'11': 0.098, '4': 0.296}"
hair ties,878.6542,0.0604,"{'11': 0.433, '4': 0.622, '7': 0.685}"
rae dunn,1538.2053,0.0753,"{'11': 0.548, '6': 0.255}"
hey dude shoes for women,3385.4838,0.1102,"{'11': 0.373, '6': 0.362}"
shark week,121671.68,0.0782,"{'11': 0.872, '4': 0.16}"
strapless bras for large breasts,75691.669,0.0906,{'9': 0.829}
dog beds for large dogs,2413.9807,0.1197,"{'11': 0.13, '4': 0.226}"
vanity chair,2060.3699,0.0738,"{'10': 0.283, '2': 0.888, '5': 0.802}"
pit viper sunglasses,2484.8567,0.0656,"{'2': 0.816, '11': 0.182, '7': 0.205}"
hoop earrings for women,4265.5448,0.0669,{'5': 1.391}
crystal necklace,10625.9669,0.1089,{'6': 0.214}
wall mirror,1766.0041,0.0611,"{'11': 0.519, '6': 0.122}"
iphone 12 pro max glass screen protector,55998.1043,0.082,"{'11': 0.677, '5': 0.141}"
organizer,1451.7462,0.0559,"{'10': 0.35, '6': 0.223}"
glasses,1278.3091,0.0635,"{'11': 0.526, '6': 0.279}"
roomba,1579.9488,0.0611,"{'9': 0.095, '4': 0.272}"
pink dress,4718.7852,0.0868,"{'3': 0.092, '11': 1.418}"
love and hip hop,5034.0389,0.0822,"{'11': 0.945, '6': 0.568}"
gel pens,1576.8102,0.053,"{'10': 0.155, '6': 0.326}"
iphone case,1911.9609,0.067,{'11': 0.501}
inflatable swimming pool,144174.5511,0.136,{'11': 0.573}
mini pop it,23597.7669,0.0742,{}
fish oil,1380.7321,0.0507,"{'3': 0.11, '11': 0.935, '7': 0.147}"
closet,2107.9156,0.0561,"{'11': 0.701, '5': 0.06}"
black masks,2104.6186,0.1133,"{'2': 0.192, '11': 0.219, '5': 0.116}"
dog gate,1931.0716,0.0651,"{'2': 0.103, '11': 0.531, '6': 0.234}"
louis vuitton,2117.0223,0.0797,"{'8': 0.496, '11': 0.519, '6': 0.384}"
lego friends,1728.9217,0.0597,"{'9': 0.092, '5': 0.281}"
folders,4833.964,0.095,"{'11': 0.943, '6': 0.365}"
women's pants,1686.6143,0.0515,"{'2': 0.445, '11': 0.332, '7': 0.117}"
pasta,1475.2987,0.0514,"{'11': 1.102, '6': 0.093}"
prime,974.6357,0.0694,"{'8': 0.654, '11': 0.382}"
bracelets,1530.9873,0.1023,{'11': 0.172}
backpacks for teens,226110.4685,0.1114,"{'10': 0.461, '2': 0.14, '5': 0.799}"
oil filter,1791.4275,0.0651,"{'8': 0.074, '11': 0.681, '6': 0.425}"
womens wallet,2004.9366,0.06,"{'10': 0.148, '2': 0.306, '6': 0.117}"
nail file,1627.7938,0.0507,{'11': 0.652}
dolls,2076.2039,0.0549,{'8': 0.338}
tablets on sale prime 10 + inch,1652.3396,0.1018,{'8': 0.767}
tumbler,1627.6811,0.059,{'10': 0.271}
peacock tv,3718.9159,0.0956,{'10': 0.461}
